Plate	Well	PreCursor	Gene_symbol	Gene_ID	Sub_lib
2	L20	NM_005627	SGK	6446	KIN
2	L21	NM_004742	BAIAP1	9223	KIN
2	L22	NM_001292	CLK3	1198	KIN
2	L23				
2	L24				
2	M01				
2	M02				
2	M03	NM_002760	PRKY	5616	KIN
2	M04	NM_015112	MAST2	23139	KIN
2	M05	NM_005921	MAP3K1	4214	KIN
2	M06	NM_003885	CDK5R1	8851	KIN
2	M07	NM_001079	ZAP70	7535	KIN
2	M08	NM_003390	WEE1	7465	KIN
2	M09	NM_014370	STK23	26576	KIN
2	M10	NM_001259	CDK6	1021	KIN
2	M11	NM_152881	PTK7	5754	KIN
2	M12	NM_079421	CDKN2D	1032	KIN
2	M13	NM_031464	RPS6KL1	83694	KIN
2	M14	NM_006257	PRKCQ	5588	KIN
2	M15	NM_014496	RPS6KA6	27330	KIN
2	M16	NM_024429	PRKAG2	51422	KIN
2	M17	NM_003137	SRPK1	6732	KIN
2	M18	NM_002401	MAP3K3	4215	KIN
2	M19	NM_207518	PRKACA	5566	KIN
2	M20	NM_021923	FGFRL1	53834	KIN
2	M21	NM_004103	PTK2B	2185	KIN
2	M22	NM_000269	NME1	4830	KIN
2	M23				
2	M24				
2	N01				
2	N02				
2	N03	NM_014720	SLK	9748	KIN
2	N04	NM_017771	PXK	54899	KIN
2	N05	NM_000076	CDKN1C	1028	KIN
2	N06	NM_014586	HUNK	30811	KIN
2	N07	NM_012398	PIP5K1C	23396	KIN
2	N08	NM_007181	MAP4K1	11184	KIN
2	N09	NM_002626	PFKL	5211	KIN
2	N10	NM_002595	PCTK2	5128	KIN
2	N11	NM_002591	PCK1	5105	KIN
2	N12	NM_001079817	INSR	3643	KIN
2	N13	NM_001261	CDK9	1025	KIN
2	N14	NM_144685	HIPK4	147746	KIN
2	N15	NM_002011	FGFR4	2264	KIN
2	N16	NM_015191	SIK2	23235	KIN
2	N17	NM_005207	CRKL	1399	KIN
2	N18	NM_000245	MET	4233	KIN
2	N19	NM_182398	RPS6KA5	9252	KIN
2	N20	NM_153048	FYN	2534	KIN
2	N21	NM_173575	STK32C	282974	KIN
2	N22	NM_001099436	DKFZP434C131	25989	KIN
2	N23				
2	N24				
2	O01				
2	O02				
2	O03	NM_006343	MERTK	10461	KIN
2	O04	NM_003985	TNK1	8711	KIN
2	O05	NM_022766	CERK	64781	KIN
2	O06	NM_003957	STK29	9024	KIN
2	O07	NM_022731	NUCKS	64710	KIN
2	O08	NM_002530	NTRK3	4916	KIN
2	O09	NM_007174	CIT	11113	KIN
2	O10	NM_014916	LMTK2	22853	KIN
2	O11	NM_001009565	CDKL4	344387	KIN
2	O12	NM_012145	DTYMK	1841	KIN
2	O13	NM_024776	KIAA2002	79834	KIN
2	O14	NM_014602	PIK3R4	30849	KIN
2	O15	NM_005109	OSR1	9943	KIN
2	O16	NM_000162	GCK	2645	KIN
2	O17	NM_014226	RAGE	5891	KIN
2	O18	NM_017449	EPHB2	2048	KIN
2	O19	NM_001204	BMPR2	659	KIN
2	O20	NM_013257	SGKL	23678	KIN
2	O21	NM_178564	NRBP2	340371	KIN
2	O22	NM_020730	DLG3	1741	KIN
2	O23				
2	O24				
2	P01				
2	P02				
2	P03	NM_001079882	PRKD2	25865	KIN
2	P04	NM_014975	SAST	22983	KIN
2	P05	NM_172207	CAMKK1	84254	KIN
2	P06	NM_002497	NEK2	4751	KIN
2	P07	NM_001003786	LYK5	92335	KIN
2	P08	NM_003668	MAPKAPK5	8550	KIN
2	P09	NM_012071	COMMD3	23412	KIN
2	P10	NM_198465	NRK	203447	KIN
2	P11	NM_004614	TK2	7084	KIN
2	P12	NM_001018053	PFKFB2	5208	KIN
2	P13	NM_177560	CSNK2A1	1457	KIN
2	P14	NM_031417	MARK4	57787	KIN
2	P15	NM_080823	SRMS	6725	KIN
2	P16	NM_004441	EPHB1	2047	KIN
2	P17	NM_004579	MAP4K2	5871	KIN
2	P18	NM_152900	MAGI-3	260425	KIN
2	P19	NM_032430	KIAA1811	84446	KIN
2	P20	NM_032037	SSTK	83983	KIN
2	P21	NM_002610	PDK1	5163	KIN
2	P22	NM_001099856	IKBKG	8517	KIN
2	P23				
2	P24				
3	A01				
3	A02				
3	A03	NM_018177	N4BP2	55728	KIN
3	A04	NM_000377	WAS	7454	TSG
3	A05	NM_012224	NEK1	4750	KIN
3	A06	NM_144606	BHD	201163	TSG
3	A07	NM_005108	XYLB	9942	KIN
3	A08	NM_006060	ZNFN1A1	10320	TSG
3	A09	NM_001042452	RP6-213H19.1	51765	KIN
3	A10	NM_004484	GPC3	2719	TSG
3	A11	NM_015092	SMG1	23049	KIN
3	A12	NM_000038	APC	324	TSG
3	A13	NM_016291	IHPK2	51447	KIN
3	A14	NM_138292	ATM	472	TSG
3	A15	NM_001014794	ILK	3611	KIN
3	A16	NM_000057	BLM	641	TSG
3	A17	NM_033126	PSKH2	85481	KIN
3	A18	NM_004329	BMPR1A	657	TSG
3	A19	NM_013392	NRBP	29959	KIN
3	A20	NM_007298	BRCA1	672	TSG
3	A21	NM_003565	ULK1	8408	KIN
3	A22	NM_000059	BRCA2	675	TSG
3	A23				
3	A24				
3	B01				
3	B02				
3	B03				
3	B04				
3	B05				
3	B06				
3	B07				
3	B08				
3	B09				
3	B10				
3	B11				
3	B12				
3	B13				
3	B14				
3	B15				
3	B16				
3	B17				
3	B18				
3	B19				
3	B20				
3	B21				
3	B22				
3	B23				
3	B24				
3	C01				
3	C02				
3	C03	NM_002737	PRKCA	5578	KIN
3	C04	NM_032043	BRIP1	83990	TSG
3	C05	NM_003948	CDKL2	8999	KIN
3	C06	NM_001211	BUB1B	701	TSG
3	C07	NM_002005	FES	2242	KIN
3	C08	NM_004360	CDH1	999	TSG
3	C09	NM_006253	PRKAB1	5564	KIN
3	C10	NM_058195	CDKN2A	1029	TSG
3	C11	NM_052947	HAK	115701	KIN
3	C12	NM_058195	CDKN2A	1029	TSG
3	C13	NM_001798	CDK2	1017	KIN
3	C14	NM_145862	CHEK2	11200	TSG
3	C15	NM_030662	MAP2K2	5605	KIN
3	C16	NM_001300	COPEB	1316	TSG
3	C17	NM_002753	MAPK10	5602	KIN
3	C18	NM_001042355	CYLD	1540	TSG
3	C19	NM_001743	CALM2	805	KIN
3	C20	NM_000107	DDB2	1643	TSG
3	C21	NM_006488	KHK	3795	KIN
3	C22	NM_001429	EP300	2033	TSG
3	C23				
3	C24				
3	D01				
3	D02				
3	D03				
3	D04				
3	D05				
3	D06				
3	D07				
3	D08				
3	D09				
3	D10				
3	D11				
3	D12				
3	D13				
3	D14				
3	D15				
3	D16				
3	D17				
3	D18				
3	D19				
3	D20				
3	D21				
3	D22				
3	D23				
3	D24				
3	E01				
3	E02				
3	E03	NM_000858	GUK1	2987	KIN
3	E04	NM_000400	ERCC2	2068	TSG
3	E05	NM_001824	CKM	1158	KIN
3	E06	NM_000122	ERCC3	2071	TSG
3	E07	NM_003618	MAP4K3	8491	KIN
3	E08	NM_005236	ERCC4	2072	TSG
3	E09	NM_006904	PRKDC	5591	KIN
3	E10	NM_000123	ERCC5	2073	TSG
3	E11	NM_003913	PRPF4B	8899	KIN
3	E12	NM_000127	EXT1	2131	TSG
3	E13	NM_003831	RIOK3	8780	KIN
3	E14	NM_000401	EXT2	2132	TSG
3	E15	NM_033403	KIAA1765	85443	KIN
3	E16	NM_001018112	FANCA	2175	TSG
3	E17	NM_002685	EXOSC10	5394	KIN
3	E18	NM_000136	FANCC	2176	TSG
3	E19	NM_000291	PGK1	5230	KIN
3	E20	NM_001018115	FANCD2	2177	TSG
3	E21	NM_016282	AK3L1	50808	KIN
3	E22	NM_021922	FANCE	2178	TSG
3	E23				
3	E24				
3	F01				
3	F02				
3	F03				
3	F04				
3	F05				
3	F06				
3	F07				
3	F08				
3	F09				
3	F10				
3	F11				
3	F12				
3	F13				
3	F14				
3	F15				
3	F16				
3	F17				
3	F18				
3	F19				
3	F20				
3	F21				
3	F22				
3	F23				
3	F24				
3	G01				
3	G02				
3	G03	NM_004073	PLK3	1263	KIN
3	G04	NM_022725	FANCF	2188	TSG
3	G05	NM_001406	EFNB3	1949	KIN
3	G06	NM_004629	FANCG	2189	TSG
3	G07	NM_004443	EPHB3	2049	KIN
3	G08	NM_001013415	FBXW7	55294	TSG
3	G09	NM_002738	PRKCB1	5579	KIN
3	G10	NM_000143	FH	2271	TSG
3	G11	NM_003648	DGKD	8527	KIN
3	G12	NM_024529	HRPT2	79577	TSG
3	G13	NM_004444	EPHB4	2050	KIN
3	G14	NM_005359	SMAD4	4089	TSG
3	G15	NM_001040261	MGC45428	166614	KIN
3	G16	NM_003010	MAP2K4	6416	TSG
3	G17	NM_005198	CHKB	1120	KIN
3	G18	NM_130801	MEN1	4221	TSG
3	G19	NM_002736	PRKAR2B	5577	KIN
3	G20	NM_000249	MLH1	4292	TSG
3	G21	NM_004563	PCK2	5106	KIN
3	G22	NM_000251	MSH2	4436	TSG
3	G23				
3	G24				
3	H01				
3	H02				
3	H03				
3	H04				
3	H05				
3	H06				
3	H07				
3	H08				
3	H09				
3	H10				
3	H11				
3	H12				
3	H13				
3	H14				
3	H15				
3	H16				
3	H17				
3	H18				
3	H19				
3	H20				
3	H21				
3	H22				
3	H23				
3	H24				
3	I01				
3	I02				
3	I03	NM_020547	AMHR2	269	KIN
3	I04	NM_000179	MSH6	2956	TSG
3	I05	NM_022076	DUSP21	63904	KIN
3	I06	NM_001048174	MUTYH	4595	TSG
3	I07	NM_004936	CDKN2B	1030	KIN
3	I08	NM_002485	NBS1	4683	TSG
3	I09	NM_001098424	DLG1	1739	KIN
3	I10	NM_000267	NF1	4763	TSG
3	I11	NM_153710	C9ORF96	169436	KIN
3	I12	NM_181831	NF2	4771	TSG
3	I13	NM_002755	MAP2K1	5604	KIN
3	I14	NM_024675	FLJ21816	79728	TSG
3	I15	NM_002044	GALK2	2585	KIN
3	I16	NM_003924	PHOX2B	8929	TSG
3	I17	NM_001007792	NTRK1	4914	KIN
3	I18	NM_181504	PIK3R1	5295	TSG
3	I19	NM_005009	NME4	4833	KIN
3	I20	NM_000534	PMS1	5378	TSG
3	I21	NM_004333	BRAF	673	KIN
3	I22	NM_000535	PMS2	5395	TSG
3	I23				
3	I24				
3	J01				
3	J02				
3	J03				
3	J04				
3	J05				
3	J06				
3	J07				
3	J08				
3	J09				
3	J10				
3	J11				
3	J12				
3	J13				
3	J14				
3	J15				
3	J16				
3	J17				
3	J18				
3	J19				
3	J20				
3	J21				
3	J22				
3	J23				
3	J24				
3	K01				
3	K02				
3	K03	NM_015148	PASK	23178	KIN
3	K04	NM_001083605	PTCH	5727	TSG
3	K05	NM_004507	HUS1	3364	KIN
3	K06	NM_000314	PTEN	5728	TSG
3	K07	NM_012290	TLK1	9874	KIN
3	K08	NM_000321	RB1	5925	TSG
3	K09	NM_000289	PFKM	5213	KIN
3	K10	NM_004260	RECQL4	9401	TSG
3	K11	NM_006252	PRKAA2	5563	KIN
3	K12	NM_016038	SBDS	51119	TSG
3	K13	NM_002221	ITPKB	3707	KIN
3	K14	NM_003000	SDHB	6390	TSG
3	K15	NM_001932	MPP3	4356	KIN
3	K16	NM_001035511	SDHC	6391	TSG
3	K17	NM_001258	CDK3	1018	KIN
3	K18	NM_003002	SDHD	6392	TSG
3	K19	NM_031268	PDPK1	5170	KIN
3	K20	NM_001007468	SMARCB1	6598	TSG
3	K21	NM_153336	C10ORF89	118672	KIN
3	K22	NM_003745	SOCS1	8651	TSG
3	K23				
3	K24				
3	L01				
3	L02				
3	L03				
3	L04				
3	L05				
3	L06				
3	L07				
3	L08				
3	L09				
3	L10				
3	L11				
3	L12				
3	L13				
3	L14				
3	L15				
3	L16				
3	L17				
3	L18				
3	L19				
3	L20				
3	L21				
3	L22				
3	L23				
3	L24				
3	M01				
3	M02				
3	M03	NM_004438	EPHA4	2043	KIN
3	M04	NM_000455	STK11	6794	TSG
3	M05	NM_004734	DCAMKL1	9201	KIN
3	M06	NM_016169	SUFU	51684	TSG
3	M07	NM_033214	GK2	2712	KIN
3	M08	NM_000545	TCF1	6927	TSG
3	M09	NM_033276	KUB3	91419	KIN
3	M10	NM_152876	FAS	355	TSG
3	M11	NM_017672	TRPM7	54822	KIN
3	M12	NM_000546	TP53	7157	TSG
3	M13	NM_053031	MYLK	4638	KIN
3	M14	NM_001008567	TSC1	7248	TSG
3	M15	NM_001522	GUCY2F	2986	KIN
3	M16	NM_001077183	TSC2	7249	TSG
3	M17	NM_002093	GSK3B	2932	KIN
3	M18	NM_000551	VHL	7428	TSG
3	M19	NM_002447	MST1R	4486	KIN
3	M20	NM_000553	WRN	7486	TSG
3	M21	NM_001625	AK2	204	KIN
3	M22	NM_000378	WT1	7490	TSG
3	M23				
3	M24				
3	N01				
3	N02				
3	N03				
3	N04				
3	N05				
3	N06				
3	N07				
3	N08				
3	N09				
3	N10				
3	N11				
3	N12				
3	N13				
3	N14				
3	N15				
3	N16				
3	N17				
3	N18				
3	N19				
3	N20				
3	N21				
3	N22				
3	N23				
3	N24				
3	O01				
3	O02				
3	O03	NM_133494	NEK7	140609	KIN
3	O04	NM_152424	FLJ39827	139285	TSG
3	O05	NM_018979	PRKWNK1	65125	KIN
3	O06	NM_000380	XPA	7507	TSG
3	O07	NM_021733	TSKS	60385	KIN
3	O08	NM_004628	XPC	7508	TSG
3	O09	NM_004197	STK19	8859	KIN
3	O10	NM_002734	PRKAR1A	5573	TSG
3	O11	NM_002969	MAPK12	6300	KIN
3	O12				
3	O13	NM_000154	GALK1	2584	KIN
3	O14				
3	O15	NM_152230	IPMK	253430	KIN
3	O16				
3	O17	NM_018216	PANK4	55229	KIN
3	O18				
3	O19	NM_002732	PRKACG	5568	KIN
3	O20				
3	O21	NM_002019	FLT1	2321	KIN
3	O22				
3	O23				
3	O24				
3	P01				
3	P02				
3	P03				
3	P04				
3	P05				
3	P06				
3	P07				
3	P08				
3	P09				
3	P10				
3	P11				
3	P12				
3	P13				
3	P14				
3	P15				
3	P16				
3	P17				
3	P18				
3	P19				
3	P20				
3	P21				
3	P22				
3	P23				
3	P24				
